symbol,year,volatility_regime,trend_strength_bucket,event_count,mean_fwd_ret_16,median_fwd_ret_16,plus_1atr_first_rate_16,minus_1atr_first_rate_16,mean_mae_16,mean_mfe_16,top1_positive_contribution,remove_top3_mean_fwd_ret
BNBUSDT,2026,mid_vol,1.5_2.5,25,0.0003759138275854834,0.0019235542318192245,0.48,0.52,-0.005961238590081024,0.005523631843238066,0.12492294231783255,-0.0008073739637413091
BTCUSDT,2020,high_vol,0.5_1.0,21,0.0038835297899057777,0.002893390421138564,0.14285714285714285,0.5714285714285714,-0.007972223434053915,0.009999467096975866,0.1910767305020839,0.001957711173904481
BTCUSDT,2020,high_vol,0_0.5,35,0.004754816455403851,0.0026387516099082298,0.2857142857142857,0.4857142857142857,-0.0103232131756716,0.009150036126316584,0.16667076594869198,0.0025002764486250634
BTCUSDT,2020,high_vol,1.0_1.5,17,-0.0016337276038772357,-0.0005550499685846866,0.29411764705882354,0.5882352941176471,-0.011630491525244032,0.0085284447519686,0.41586389643159,-0.005449045437799798
BTCUSDT,2020,high_vol,1.5_2.5,18,0.0033034264501347423,0.000857566209807592,0.5,0.5,-0.007066038448808598,0.011331211936780945,0.1933568951553745,0.0004665172434563066
BTCUSDT,2020,low_vol,0.5_1.0,5,0.0017738449844777904,0.0021121912940891274,0.6,0.4,-0.004499000519494678,0.005958401790857604,0.58660328641089,-0.0029468036530073682
BTCUSDT,2020,low_vol,1.0_1.5,5,-0.002054032696180763,-0.0019101855361003395,0.4,0.6,-0.011947985656853555,0.0031937936744144578,0.8808548166881051,-0.008748202349242284
BTCUSDT,2020,low_vol,1.5_2.5,5,0.0030806166996073525,0.007103356270664385,0.8,0.2,-0.012824706579268352,0.013450153645382202,0.5572902114551856,-0.01217694947579906
BTCUSDT,2020,mid_vol,0.5_1.0,10,-0.0003219085301193636,2.9468765431750477e-06,0.4,0.6,-0.011376996137675288,0.00815097282909194,0.3758036221358259,-0.0037167881310163275
BTCUSDT,2020,mid_vol,0_0.5,5,0.003711033220365323,0.0036608565778604163,0.4,0.6,-0.006372834118886362,0.006090799382900247,0.2875485737305969,0.0021814704337137503
BTCUSDT,2020,mid_vol,1.0_1.5,11,0.00478095582676874,0.0021560255482584445,0.36363636363636365,0.6363636363636364,-0.004005348455872193,0.007452216974665179,0.29926205399280653,0.0015464853680209334
BTCUSDT,2020,mid_vol,1.5_2.5,11,-0.0006897556928543032,-0.0019662422521712353,0.36363636363636365,0.6363636363636364,-0.007713152484951999,0.004306734469167809,0.577796293625074,-0.002952282802566278
BTCUSDT,2021,high_vol,0.5_1.0,37,-0.002388338064536992,-0.004329755888214604,0.3783783783783784,0.5945945945945946,-0.011232818625381096,0.006928552933592844,0.15796480281401565,-0.003990198082051405
BTCUSDT,2021,high_vol,0_0.5,32,-0.007214622480599189,-0.007449154585704276,0.375,0.5,-0.014486681671809096,0.006611875366099175,0.18668981427450698,-0.008781210739365603
BTCUSDT,2021,high_vol,1.0_1.5,33,0.002727442744011091,0.00426885161720425,0.48484848484848486,0.5151515151515151,-0.012044132498055467,0.010748101112539292,0.19297058903318207,0.0005522295820074574
BTCUSDT,2021,high_vol,1.5_2.5,41,0.0024757273604773897,0.0013924355068619665,0.4146341463414634,0.5853658536585366,-0.012971536443489657,0.012089572555020566,0.29710978146864625,-0.0008782638419891733
BTCUSDT,2021,low_vol,0.5_1.0,8,-0.004547919497060807,-0.002297543447400352,0.5,0.5,-0.01314371408897086,0.006409168717592589,0.49046149288437096,-0.009291666436450696
BTCUSDT,2021,low_vol,0_0.5,1,-0.021816361578001264,-0.021816361578001264,1.0,0.0,-0.025217673963663256,0.005848098114485278,,
BTCUSDT,2021,low_vol,1.0_1.5,6,-0.0026224641029511018,-0.0031748589946462014,0.16666666666666666,0.6666666666666666,-0.011270477720571973,0.00970090778157314,0.9033514099637568,-0.006381850222134037
BTCUSDT,2021,low_vol,1.5_2.5,7,0.00869555595289224,0.011540070683827564,1.0,0.0,-0.004550953021245641,0.015411339668772348,0.2418038285300962,0.0032681796398099927
BTCUSDT,2021,mid_vol,0.5_1.0,9,-0.01817288804365898,-0.00796604674406931,0.4444444444444444,0.5555555555555556,-0.03328362522027888,0.0086791851305636,0.4429376261200908,-0.03184205877261348
BTCUSDT,2021,mid_vol,0_0.5,12,-0.0065112389998663684,-0.007878951038757909,0.3333333333333333,0.6666666666666666,-0.013810330341658248,0.006994180807175454,0.744353931869002,-0.011386873392783992
BTCUSDT,2021,mid_vol,1.0_1.5,4,0.018270652842556495,0.015506830277655537,0.5,0.5,-0.008865560891884144,0.029092005118981412,0.5756057081738476,-0.004477922164014214
BTCUSDT,2021,mid_vol,1.5_2.5,15,0.020857626505368494,0.007342532359284393,0.4666666666666667,0.5333333333333333,-0.006126925865591981,0.02908663514096467,0.5059722543968764,0.005228963920624062
BTCUSDT,2022,high_vol,0.5_1.0,24,-0.008495321135462619,-0.0026674779184872044,0.2916666666666667,0.5833333333333334,-0.018457687680416775,0.005973552700407346,0.42310737912611857,-0.01114393731026943
BTCUSDT,2022,high_vol,0_0.5,64,-0.008115775998918565,-0.0031773255805804257,0.328125,0.5625,-0.017363146509398082,0.007126043994475292,0.12318194934559178,-0.009440881814176563
BTCUSDT,2022,high_vol,1.0_1.5,15,-0.00891781494962023,-0.003237943144831168,0.3333333333333333,0.5333333333333333,-0.015644584185251616,0.008289650378426838,0.4902212636885103,-0.012266320980627623
BTCUSDT,2022,high_vol,1.5_2.5,55,0.0007956227650968554,0.0006278088704798623,0.36363636363636365,0.5636363636363636,-0.014520374776763151,0.01285280798260444,0.1486968883874919,-0.0017516304946453907
BTCUSDT,2022,low_vol,0.5_1.0,1,-0.015247441173367071,-0.015247441173367071,0.0,1.0,-0.022976680384087844,0.0057613168724279795,,
